Quarter	Amount	FREE CASH
2020-06-30	-2364	24.34
2020-03-31	-2364	25.83
2019-12-31	25825	23.46
2019-09-30	10106	25.02
2019-06-30	5599	23.04
2019-03-31	-875	19.4
2018-12-31	19400	15.37
2018-09-30	6043	10.42
2018-06-30	-18	7.27
2018-03-31	-4518	8.31
2017-12-31	8307	7.97
2017-09-30	-1015	9.6
2017-06-30	-2132	10.13
2017-03-31	-3480	10.47
2016-12-31	10466	8.56
2016-09-30	1553	7.33
2016-06-30	-1265	6.36
2016-03-31	-3132	7.33
2015-12-31	7450	5.4
2015-09-30	-172	4.37
2015-06-30	-1586	3.16
2015-03-31	-2370	1.95
2014-12-31	1949	1.08
2014-09-30	-3621	1.04
2014-06-30	-4010	1.49
2014-03-31	-3582	2.03
2013-12-31	2031	0.39
2013-09-30	-2668	0.27
2013-06-30	-3018	0.18
2013-03-31	-3042	0.4
2012-12-31	395	1.06
2012-09-30	-2660	1.1
2012-06-30	-2887	1.15
2012-03-31	-2824	2.09
2011-12-31	2092	1.53
2011-09-30	-1627	1.83
2011-06-30	-1894	1.83
2011-03-31	-1884	2.52
2010-12-31	2516	1.83
2010-09-30	-644	1.99
2010-06-30	-1184	2.32
2010-03-31	-1238	2.92
2009-12-31	2920	1.92
2009-09-30	446	1.54
2009-06-30	-250	1.43
2009-03-31	-640	1.36
2008-12-31	1364	0.97
2008-09-30	-105	0.82
2008-06-30	-428	0.79
2008-03-31	-706	1.18
2007-12-31	1181	0.8
2007-09-30	106	0.7
2007-06-30	-62	0.52
2007-03-31	-313	0.49
2006-12-31	486	0.37
2006-09-30	-208	0.38
2006-06-30	-277	0.5
2006-03-31	-349	0.53
2005-12-31	529	0.48
2005-09-30	-46	0.49
2005-06-30	-123	0.42
